Invoice Number,Billing Period,Company Name,Supplier Name,Invoice Amount,Amount Transferred,Payment Date,Payment Status
W-IN-2284939,Jan 2026,PT Saba Indomedika,SABA Tebet,"Rp6,500,000","Rp6,382,883",9 Feb 2026,Paid
E-IN-2285776,Jan 2026,PT Saba Indomedika,SABA Surabaya,"Rp1,500,000","Rp1,472,973",9 Feb 2026,Paid
W-02600000666349,Jan 2026,PT Saba Indomedika,SABA Bandung,"Rp1,500,000","Rp1,472,973",9 Feb 2026,Paid
E-IN-2285657,Jan 2026,PT Saba Indomedika,SABA Bali,"Rp1,500,000","Rp1,472,973",9 Feb 2026,Paid
C-IN-2285542,Jan 2026,PT Saba Indomedika,SABA Semarang,"Rp1,500,000","Rp1,472,973",13 Feb 2026,Paid
C-IN-2285205,Jan 2026,PT Saba Indomedika,SABA Yogya,"Rp1,500,000","Rp1,472,973",20 Feb 2026,Paid
W-IN-2284966,Jan 2026,PT Saba Indomedika,Saba Serang,"Rp1,500,000","Rp1,472,973",9 Feb 2026,Paid
W-IN-2284967,Jan 2026,PT Saba Indomedika,Saba Karawang,"Rp1,500,000","Rp1,472,973",9 Feb 2026,Paid
C-IN-2285497,Jan 2026,PT Saba Indomedika,Saba Balikpapan,"Rp1,500,000","Rp1,472,973",13 Feb 2026,Paid
C-IN-2285511,Jan 2026,PT Saba Indomedika,Saba Samarinda,"Rp1,500,000","Rp1,472,973",13 Feb 2026,Paid
C-IN-2285503,Jan 2026,PT Saba Indomedika,Saba Banjarmasin,"Rp1,500,000","Rp1,472,973",13 Feb 2026,Paid
W-02600000666362,Jan 2026,PT Saba Indomedika,Saba Medan,"Rp1,500,000","Rp1,472,973",9 Feb 2026,Paid
P-02600000118138,Jan 2026,PT Saba Indomedika,Saba Palembang,"Rp1,500,000","Rp1,472,973",9 Feb 2026,Paid
W-IN-2290884,Feb 2026,PT Saba Indomedika,SABA Tebet,"Rp6,500,000","Rp6,382,883",13 Mar 2026,Paid
E-IN-2292438,Feb 2026,PT Saba Indomedika,SABA Surabaya,"Rp1,500,000","Rp1,472,973",13 Mar 2026,Paid
W-02600023828732,Feb 2026,PT Saba Indomedika,SABA Bandung,"Rp1,500,000","Rp1,472,973",6 Mar 2026,Paid
E-IN-2292641,Feb 2026,PT Saba Indomedika,SABA Bali,"Rp1,500,000","Rp1,472,973",13 Mar 2026,Paid
C-IN-2291376,Feb 2026,PT Saba Indomedika,SABA Semarang,"Rp1,500,000","Rp1,472,973",13 Mar 2026,Paid
C-IN-2291898,Feb 2026,PT Saba Indomedika,SABA Yogya,"Rp1,500,000","Rp1,472,973",20 Mar 2026,Paid
W-IN-2290885,Feb 2026,PT Saba Indomedika,Saba Serang,"Rp1,500,000","Rp1,472,973",13 Mar 2026,Paid
W-IN-2290886,Feb 2026,PT Saba Indomedika,Saba Karawang,"Rp1,500,000","Rp1,472,973",13 Mar 2026,Paid
C-IN-2291507,Feb 2026,PT Saba Indomedika,Saba Balikpapan,"Rp1,500,000","Rp1,472,973",13 Mar 2026,Paid
C-IN-2291345,Feb 2026,PT Saba Indomedika,Saba Samarinda,"Rp1,500,000","Rp1,472,973",13 Mar 2026,Paid
C-IN-2291357,Feb 2026,PT Saba Indomedika,Saba Banjarmasin,"Rp1,500,000","Rp1,472,973",13 Mar 2026,Paid
W-02600023828746,Feb 2026,PT Saba Indomedika,Saba Medan,"Rp1,500,000","Rp1,472,973",13 Mar 2026,Paid
P-02600024210205,Feb 2026,PT Saba Indomedika,Saba Palembang,"Rp1,500,000","Rp1,472,973",13 Mar 2026,Paid
W-IN-2296789,Mar 2026,PT Saba Indomedika,SABA Tebet,"Rp6,500,000","Rp6,382,883",1 Apr 2026,Paid
E-IN-2299069,Mar 2026,PT Saba Indomedika,SABA Surabaya,"Rp1,500,000","Rp1,472,973",10 Apr 2026,Paid
W-02600069275944,Mar 2026,PT Saba Indomedika,SABA Bandung,"Rp1,500,000","Rp1,472,973",10 Apr 2026,Paid
E-IN-2299084,Mar 2026,PT Saba Indomedika,SABA Bali,"Rp1,500,000","Rp1,472,973",10 Apr 2026,Paid
C-IN-2297545,Mar 2026,PT Saba Indomedika,SABA Semarang,"Rp1,500,000","Rp1,472,973",10 Apr 2026,Paid
C-IN-2297607,Mar 2026,PT Saba Indomedika,SABA Yogya,"Rp1,500,000","Rp1,472,973",17 Apr 2026,Scheduled
W-IN-2296790,Mar 2026,PT Saba Indomedika,Saba Serang,"Rp1,500,000","Rp1,472,973",1 Apr 2026,Paid
W-IN-2296788,Mar 2026,PT Saba Indomedika,Saba Karawang,"Rp1,500,000","Rp1,472,973",1 Apr 2026,Paid
C-IN-2297627,Mar 2026,PT Saba Indomedika,Saba Balikpapan,"Rp1,500,000","Rp1,472,973",10 Apr 2026,Paid
C-IN-2297441,Mar 2026,PT Saba Indomedika,Saba Samarinda,"Rp1,500,000","Rp1,472,973",10 Apr 2026,Paid
C-IN-2297395,Mar 2026,PT Saba Indomedika,Saba Banjarmasin,"Rp1,500,000","Rp1,472,973",10 Apr 2026,Paid
W-02600069315328,Mar 2026,PT Saba Indomedika,Saba Medan,"Rp1,500,000","Rp1,472,973",10 Apr 2026,Paid
P-02600066735925,Mar 2026,PT Saba Indomedika,Saba Palembang,"Rp1,500,000","Rp1,472,973",10 Apr 2026,Paid
W-IN-2302815,Apr 2026,PT Saba Indomedika,SABA Tebet,"Rp6,500,000","Rp6,382,883",8 May 2026,Scheduled
E-IN-2304417,Apr 2026,PT Saba Indomedika,SABA Surabaya,"Rp1,500,000","Rp1,472,973",8 May 2026,Scheduled
W-02600108889183,Apr 2026,PT Saba Indomedika,SABA Bandung,"Rp1,500,000","Rp1,472,973",8 May 2026,Scheduled
E-IN-2304547,Apr 2026,PT Saba Indomedika,SABA Bali,"Rp1,500,000","Rp1,472,973",8 May 2026,Scheduled
C-IN-2303491,Apr 2026,PT Saba Indomedika,SABA Semarang,"Rp1,500,000","Rp1,472,973",8 May 2026,Scheduled
W-IN-2302816,Apr 2026,PT Saba Indomedika,Saba Serang,"Rp1,500,000","Rp1,472,973",8 May 2026,Scheduled
W-IN-2302817,Apr 2026,PT Saba Indomedika,Saba Karawang,"Rp1,500,000","Rp1,472,973",8 May 2026,Scheduled
C-IN-2303872,Apr 2026,PT Saba Indomedika,Saba Balikpapan,"Rp1,500,000","Rp1,472,973",8 May 2026,Scheduled
C-IN-2303892,Apr 2026,PT Saba Indomedika,Saba Samarinda,"Rp1,500,000","Rp1,472,973",8 May 2026,Scheduled
C-IN-2303632,Apr 2026,PT Saba Indomedika,Saba Banjarmasin,"Rp1,500,000","Rp1,472,973",8 May 2026,Scheduled
W-02600108889190,Apr 2026,PT Saba Indomedika,Saba Medan,"Rp1,500,000","Rp1,472,973",8 May 2026,Scheduled
P-02600109251479,Apr 2026,PT Saba Indomedika,Saba Palembang,"Rp1,500,000","Rp1,472,973",8 May 2026,Scheduled
2601.0152/KWT/BMS-S/I/2026,Jan 2026,PT Biolaborindo Makmur Sejahtera,Biotest,"Rp100,061,975","Rp6,382,883",13 Mar 2026,Paid
2602.0485/KWT/BMS-S/II/2026,Feb 2026,PT Biolaborindo Makmur Sejahtera,Biotest,"Rp61,991,075","Rp1,472,973",10 Apr 2026,Paid
